Endpoint,Inactive,Active,Best k,Accuracy,Precision,Recall,F1 score,AUC ROC
NR.AhR,191,48,1,71.13,29.41,31.25,30.30,56.20
NR.AR,243,17,1,92.69,44.44,47.06,45.71,71.47
NR.AR.LBD,230,13,1,93.83,33.33,15.38,21.05,56.82
NR.Aromatase,180,21,1,88.06,42.86,42.86,42.86,68.10
NR.ER,180,38,1,70.64,22.92,28.95,25.58,54.20
NR.ER.LBD,233,17,1,86.40,9.52,11.76,10.53,51.81
NR.PPAR.gamma,217,7,1,94.20,0.00,0.00,0.00,48.62
SR.ARE,176,40,1,74.07,27.78,25.00,26.32,55.11
SR.ATAD5,244,12,1,90.23,0.00,0.00,0.00,47.34
SR.HSE,228,13,1,90.46,8.33,7.69,8.00,51.43
SR.MMP,165,38,1,72.41,26.32,26.32,26.32,54.67
SR.p53,225,18,1,86.01,5.56,5.56,5.56,49.00
